0,7301,60000,0.121683
1,11027,60000,0.183783
2,13117,60000,0.218617
3,13679,60000,0.227983
4,14040,60000,0.234
5,14536,60000,0.242267
6,14685,60000,0.24475
7,15134,60000,0.252233
8,15637,60000,0.260617
9,16220,60000,0.270333
10,16935,60000,0.28225
11,17294,60000,0.288233
12,17241,60000,0.28735
13,17646,60000,0.2941
14,18632,60000,0.310533
15,19024,60000,0.317067
16,20318,60000,0.338633
17,19556,60000,0.325933
18,20890,60000,0.348167
19,23006,60000,0.383433
20,24236,60000,0.403933
21,24100,60000,0.401667
22,26729,60000,0.445483
23,35493,60000,0.59155
24,51159,60000,0.85265
25,58603,60000,0.976717
26,59909,60000,0.998483
27
